,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ESP32,,,CH340G,,,USB-C,,,,TPD2EUSB30ADRTR,
PINS,NETS,,PINS,NETS,,PINS,NETS,CONNECTION,,PINS,NETS
EN,EN,,V3,X,,GND,GND,,,,
IO0,IO0,,VCC,+3.3V,,SBU2,X,,,D+,"USB_DP_PROT,"
TXD0,UART_RX_CH340,,R232,X,,SBU1,X,,,D-,USB_DM_PROT
RXD0,UART_TX_CH340,,UD+,USB_DP,,TX2+,X,,,GND,GND
USB_D-,USB_DM,,UD-,USB_DM,,TX2-,X,,,,
USB_D+ ,USB_DP,,XI,X,,RX2+,X,,,,
3.3V,+3.3V,,XO,X,,RX2-,X,,,,
GND,GND,,TXD,UART_TX_CH340,,TX1+,X,,,,
,,,RXD,UART_RX_CH340,,TX1-,X,,,,
IO1,X,, CTS,X,,RX1+,X,,,,
IO2,CS?10K?GND,,DSR,X,,RX1-,X,,,,
IO3,MISO,,RI,X,,D+,"USB_DP_PROT,",,,,
IO4,TERMINAL,,DCD,X,,D+,"USB_DP_PROT,",,,,
IO5,X,,DTR,DTR,,D-,USB_DM_PROT,,,,
IO6,TERMINAL,,RTS,RTS,,D-,USB_DM_PROT,,,,
IO7,TERMINAL,,GND,GND,,CC2,,5.1K ? GND,,,
IO8,TERMINAL,,,,,CC1,,5.1K ? GND,,,
IO9,X,,,,,VBUS,X,,,,
IO10,X,,,,,SHIELD,GND,,,,
IO11,X,,,,,,,,,,
IO12,X,,,,,,,,,,
IO13,TERMINAL,,,NETS,,,,,,,
IO14,MOSI,,,EN ? button ? GND,,,,,,,
IO15,SCLK,,,EN?10K ? +3.3V,,,,,,,
IO16,TX1,,,EN ? 1uF to GND,,,,,,,
,TXD0,,,IO0 ? 10K ? GND  ,,,,,,,
,RXD0,,,IO0 ? BUTTON ? GND  ,,,,,,,
IO17,RX1,,,IO0 ? .1uF ? RTS ,,,,,,,
IO18,TERMINAL,,,IO0 ? 1n4148w ? RTS ,,,,,,,
,USB_D-,,,IO0 ? .1uF ? DTR,,,,,,,
,USB_D+,,,IO0 ? 1n4148w ? DTR,,,,,,,
IO21,WS2812B,,,,,,,,,,
IO35,PSRAM,,,,,,,,,,
IO36,PSRAM,,,,,,,,,,
IO37,PSRAM,,,,,,,,,,
IO38,WS2812B,,,,,,,,,,
IO39,WS2812B,,,,,,,,,,
IO40,WS2812B,,,,,,,,,,
IO41,WS2812B,,,,,,,,,,
IO42,WS2812B,,,,,,,,,,
IO45,WS2812B,,,,,,,,,,
IO46,WS2812B,,,,,,,,,,
IO47,WS2812B,,,,,,,,,,
IO48,WS2812B,,,,,,,,,,
