"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"5V_EXTERNAL2","1","Screw_Terminal_01x02","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"C1,C4","2","10uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2,C3,C10,C12,C13,C16,C17","7","1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C5","1","100uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C7","1","0.1uF/50V(10%)","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C8","1","10uF/25V(20%)","","","","Capacitor_SMD:C_0805_2012Metric","~"
"CR1,CR2,CR3","3","LESD5D5.0CT1G","","","","MyFootprints:CR_5.0CT1G_UMW","LESD5D5.0CT1G"
"D1","1","1N5819WS","","","","Diode_SMD:D_SOD-323","https://datasheet.lcsc.com/lcsc/2204281430_Guangdong-Hottech-1N5819WS_C191023.pdf"
"D6","1","1N5819","","","","Diode_SMD:D_SOD-323_HandSoldering","http://www.vishay.com/docs/88525/1n5817.pdf"
"D7","1","LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"J1,J2","2","Conn_01x14","","","","Connector_PinSocket_2.54mm:PinSocket_1x14_P2.54mm_Vertical","~"
"J3","1","USB_B_Micro","","","","Connector_USB:USB_Micro-B_Wuerth_629105150521","~"
"J5","1","Conn_01x02","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~"
"Q1,Q2","2","MMBT4401","","","","TRANS_MMBT4401",""
"R1,R3","2","10K(1%)","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R2,R4,R6,R10,R11","5","0","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R5,R7","2","10K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R8","1","220","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R9","1","0 ohms","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R12","1","10k(1%)","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R13","1","1K(1%)","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R14","1","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R15","1","47.5K(1%)","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"S3,S4","2","PTS645SK43SMTR92LFS","","","","MyFootprints:SW_PTS645SK43SMTR92LFS",""
"U1","1","CP2102N-A02-GQFN28","","","","MyFootprints:QFN50P500X500X80-29N",""
"U2,U5,U6,U7,U8,U10,U11,U12,U13,U14","10","WS2812B","","","","MyFootprints:Three_pad_solder",""
"U3","1","NEOPIXEL","","","","LED_SMD:LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",""
"U4","1","ESP32-S3-WROOM-1","","","","RF_Module:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
"U9","1","AP2112K-3.3","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP2112.pdf"
