,,ESP32-S3-DevKitC-1,,,,,,,
,,,,,,,,,
,Part,#,source,,,Symbol,Footprint,3D,
,Micro_USB ,629105150521,DigiKey,,,KiCAD,KiCAD,none,
,PinHeader,Conn_01x12,ME,,,,,,
,USB-SERIAL,,lcsc,C393940 ,,CP2102-GM.kicad_sym,QFN50P500X100-29N.kicad_mod,CP2102-GM.step,
,USB-SERIAL,CP2102N-A02-GQFN28,LCSC,C964632 ,USB SERIAL,CP2102N-A02-GQFN28.kicad_sym,QFN50P500X80-29.kicad_mod,CP2102N-A02-GQFN28.step,
,Transistor,MMBT4401 ,LCSC,C31776,transistor,MMBT4401.kicad_sym,TRANS_MMBT4401.kicad_mod,MMBT4401.step,
,RGB,OPSCO Optoelectronics SK6812MINI-HS,LCSC,C2922787,Neopixel,,,,
,SCHOTTKY,LESD5D5.0CT1G,LCSC,C383211 ,zener,,,,LESD5D5.0CT1G | Datasheet | LRC | LCSC Electronics 
,ESP32,ESP32-S3-WROOM-1-N8,LCSC,C2913198,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,, D:\KiCad_Libraries\MyComponents\MyFootprints.pretty,,,,,,,
,,D:\KiCad_Libraries\MyComponents\MySymbols,,,,,,,
